Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,1163307609,,,,1163409085,,4556560511,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,8,Albania,ALB,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,5941761,,,,5941790,,17438369,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,12,Algeria,DZA,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,5342704,,,,5342704,,16675783,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,6331371,,,,6331371,,20399466,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,28,Antigua and Barbuda,ATG,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,19790,,,,19780,,52887,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,31,Azerbaijan,AZE,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,204254,,,,204254,,770261,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,14056180,,,,14056190,,33970656,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,36,Australia,AUS,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,28029,,,,28029,,174913,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,44,Bahamas,BHS,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,264919,,,,264911,,861447,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,48,Bahrain,BHR,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,429275,,,,429238,,2098251,,,0
H5,2018,2018,2018,4,0,2,Export,76,Brazil,BRA,51,Armenia,ARM,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,785142,,,,785142,,1181596,,,0
