Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,24591,,,,24591,,52285,,,0
H5,2018,2018,2018,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,181366,,,,181366,,1318052,,,0
H5,2018,2018,2018,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,27767904,,,,27767904,,85291883,,,6
H5,2018,2018,2018,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,7335743,,,,7335743,,22047499,,,0
H5,2018,2018,2018,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,13592907,,,,,,35244515,,,6
H5,2018,2018,2018,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,1693600,,,,1693600,,6567695,,,0
H5,2018,2018,2018,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,8881417,,,,8881417,,53143748,,,0
H5,2018,2018,2018,4,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,7525384,,,,7525384,,31292119,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,4391268,,,,4391268,,12736927,,,0
H5,2018,2018,2018,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,1,No Quantity,0,,,,,,48085485,,,6
H5,2018,2018,2018,4,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,867894,,,,867894,,4724619,,,0
H5,2018,2018,2018,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,71796,,,,71798,,185306,,,0
H5,2018,2018,2018,4,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,2113276,,,,2113276,,9518554,,,0
H5,2018,2018,2018,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,96179,,,,191016,,537056,,,6
H5,2018,2018,2018,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,0202,Meat of bovine animals; frozen,8,Weight in kilograms,14327382,,,,14327382,,111789764,,,0
